frame,t_sec,fhi,regions,confirmed,hsv_primary,review,negative
1,0.0,95.7,9,0,6,3,0
21,0.33,94.5,9,0,5,4,0
41,0.67,93.1,9,0,5,4,0
61,1.0,92.9,8,0,5,3,0
81,1.33,93.8,12,0,9,3,0
101,1.67,95.4,12,0,10,2,0
121,2.0,95.9,17,0,14,3,0
141,2.33,95.8,20,0,17,3,0
161,2.67,95.8,23,0,19,4,0
181,3.0,96.2,28,0,26,2,0
201,3.33,96.6,26,0,25,1,0
221,3.67,96.8,24,0,24,0,0
241,4.0,97.2,23,0,22,1,0
261,4.33,97.1,24,0,23,1,0
281,4.67,97.1,22,0,21,1,0
301,5.0,97.2,24,0,24,0,0
321,5.33,96.8,21,0,20,1,0
341,5.67,95.3,22,0,19,3,0
361,6.0,93.8,22,0,19,3,0
381,6.33,93.0,23,0,17,6,0
401,6.67,92.8,21,0,18,3,0
421,7.0,93.1,18,0,13,4,1
441,7.33,93.3,15,0,8,6,1
461,7.67,93.7,18,0,12,6,0
481,8.0,93.3,20,0,15,5,0
501,8.33,94.0,18,0,14,4,0
521,8.67,94.0,21,0,16,5,0
541,9.0,91.0,18,0,14,4,0
561,9.33,88.7,18,0,12,6,0
581,9.67,89.2,22,0,14,8,0
